strain,replicate,metric,intensity
svs002-svp005,rep1,median_mcherry,600.0
svs002-svp005,rep1,median_mcherry,54437.0
svs002-svp005,rep1,median_mcherry,1205.0
svs002-svp005,rep1,median_mcherry,40191.0
svs002-svp005,rep1,median_mcherry,21410.0
svs002-svp005,rep1,median_mcherry,1564.0
svs002-svp005,rep1,median_mcherry,27233.0
svs002-svp005,rep1,median_mcherry,40825.0
svs002-svp005,rep1,median_mcherry,1311.0
svs002-svp005,rep1,median_mcherry,45819.0
svs002-svp005,rep1,median_mcherry,47712.0
svs002-svp005,rep1,median_mcherry,35348.0
svs002-svp005,rep1,median_mcherry,1328.0
svs002-svp005,rep1,median_mcherry,38720.0
svs002-svp005,rep1,median_mcherry,26980.0
svs002-svp005,rep1,median_mcherry,31152.0
svs002-svp005,rep1,median_mcherry,26644.0
svs002-svp005,rep1,median_mcherry,2344.0
svs002-svp005,rep1,median_mcherry,12069.0
svs002-svp005,rep1,median_mcherry,40200.0
svs002-svp005,rep1,median_mcherry,23805.0
svs002-svp005,rep1,median_mcherry,35517.0
svs002-svp005,rep1,median_mcherry,29536.0
svs002-svp005,rep1,median_mcherry,1130.0
svs002-svp005,rep1,median_mcherry,14218.0
svs002-svp005,rep1,median_mcherry,42925.0
svs002-svp005,rep1,median_mcherry,555.0
svs002-svp005,rep1,median_mcherry,18257.0
svs002-svp005,rep1,median_mcherry,1133.0
svs002-svp005,rep1,median_mcherry,43181.0
svs002-svp005,rep1,median_mcherry,100648.0
svs002-svp005,rep1,median_mcherry,21361.0
svs002-svp005,rep1,median_mcherry,27285.0
svs002-svp005,rep1,median_mcherry,858.0
svs002-svp005,rep1,median_mcherry,15938.0
svs002-svp005,rep1,median_mcherry,127265.0
svs002-svp005,rep1,median_mcherry,21797.0
svs002-svp005,rep1,median_mcherry,1157.0
svs002-svp005,rep1,median_mcherry,42959.0
svs002-svp005,rep1,median_mcherry,28765.0
svs002-svp005,rep1,median_mcherry,47960.0
svs002-svp005,rep1,median_mcherry,23884.0
svs002-svp005,rep1,median_mcherry,1518.0
svs002-svp005,rep1,median_mcherry,1208.0
svs002-svp005,rep1,median_mcherry,54920.0
svs002-svp005,rep1,median_mcherry,39322.0
svs002-svp005,rep1,median_mcherry,15906.0
svs002-svp005,rep1,median_mcherry,72852.0
svs002-svp005,rep1,median_mcherry,1487.0
svs002-svp005,rep1,median_mcherry,43788.0
svs002-svp005,rep1,median_mcherry,25923.0
svs002-svp005,rep1,median_mcherry,37927.0
svs002-svp005,rep1,median_mcherry,10745.0
svs002-svp005,rep1,median_mcherry,24133.0
svs002-svp005,rep1,median_mcherry,27344.0
svs002-svp005,rep1,median_mcherry,19050.0
svs002-svp005,rep1,median_mcherry,1157.0
svs002-svp005,rep1,median_mcherry,1453.0
svs002-svp005,rep1,median_mcherry,22429.0
svs002-svp005,rep1,median_mcherry,12786.0
svs002-svp005,rep1,median_mcherry,1571.0
svs002-svp005,rep1,median_mcherry,48633.0
svs002-svp005,rep1,median_mcherry,28939.0
svs002-svp005,rep1,median_mcherry,1929.0
svs002-svp005,rep1,median_mcherry,1028.0
svs002-svp005,rep1,median_mcherry,39509.0
svs002-svp005,rep1,median_mcherry,1025.0
svs002-svp005,rep1,median_mcherry,19796.0
svs002-svp005,rep1,median_mcherry,2566.0
svs002-svp005,rep1,median_mcherry,1404.0
svs002-svp005,rep1,median_mcherry,1966.0
svs002-svp005,rep1,median_mcherry,59426.0
svs002-svp005,rep1,median_mcherry,134661.0
svs002-svp005,rep1,median_mcherry,37584.0
svs002-svp005,rep1,median_mcherry,53025.0
svs002-svp005,rep1,median_mcherry,84805.0
svs002-svp005,rep1,median_mcherry,115173.0
svs002-svp005,rep1,median_mcherry,24205.0
svs002-svp005,rep1,median_mcherry,126772.0
svs002-svp005,rep1,median_mcherry,19700.0
svs002-svp005,rep1,median_mcherry,32198.0
svs002-svp005,rep1,median_mcherry,36626.0
svs002-svp005,rep1,median_mcherry,4268.0
svs002-svp005,rep1,median_mcherry,14247.0
svs002-svp005,rep1,median_mcherry,31119.0
svs002-svp005,rep1,median_mcherry,38146.0
svs002-svp005,rep1,median_mcherry,1296.0
svs002-svp005,rep1,median_mcherry,1057.0
svs002-svp005,rep1,median_mcherry,29211.0
svs002-svp005,rep1,median_mcherry,41688.0
svs002-svp005,rep1,median_mcherry,73068.0
svs002-svp005,rep1,median_mcherry,1581.0
svs002-svp005,rep1,median_mcherry,11329.0
svs002-svp005,rep1,median_mcherry,26652.0
svs002-svp005,rep1,median_mcherry,24069.0
svs002-svp005,rep1,median_mcherry,58426.0
svs002-svp005,rep1,median_mcherry,13576.0
svs002-svp005,rep1,median_mcherry,28249.0
svs002-svp005,rep1,median_mcherry,55560.0
svs002-svp005,rep1,median_mcherry,1372.0
svs002-svp005,rep1,median_mcherry,39691.0
svs002-svp005,rep1,median_mcherry,32416.0
svs002-svp005,rep1,median_mcherry,6228.0
svs002-svp005,rep1,median_mcherry,51997.0
svs002-svp005,rep1,median_mcherry,1012.0
svs002-svp005,rep1,median_mcherry,42693.0
svs002-svp005,rep1,median_mcherry,593.0
svs002-svp005,rep1,median_mcherry,943.0
svs002-svp005,rep1,median_mcherry,68764.0
svs002-svp005,rep1,median_mcherry,24128.0
svs002-svp005,rep1,median_mcherry,1609.0
svs002-svp005,rep1,median_mcherry,16821.0
svs002-svp005,rep1,median_mcherry,18602.0
svs002-svp005,rep1,median_mcherry,56878.0
svs002-svp005,rep1,median_mcherry,1108.0
svs002-svp005,rep1,median_mcherry,47121.0
svs002-svp005,rep1,median_mcherry,1511.0
svs002-svp005,rep1,median_mcherry,809.0
svs002-svp005,rep1,median_mcherry,33629.0
svs002-svp005,rep1,median_mcherry,1286.0
svs002-svp005,rep1,median_mcherry,944.0
svs002-svp005,rep1,median_mcherry,41726.0
svs002-svp005,rep1,median_mcherry,1364.0
svs002-svp005,rep1,median_mcherry,49936.0
svs002-svp005,rep1,median_mcherry,17984.0
svs002-svp005,rep1,median_mcherry,52337.0
svs002-svp005,rep1,median_mcherry,44772.0
svs002-svp005,rep1,median_mcherry,15779.0
svs002-svp005,rep1,median_mcherry,17581.0
svs002-svp005,rep1,median_mcherry,671.0
svs002-svp005,rep1,median_mcherry,1000.0
svs002-svp005,rep1,median_mcherry,38099.0
svs002-svp005,rep1,median_mcherry,15329.0
svs002-svp005,rep1,median_mcherry,91360.0
svs002-svp005,rep1,median_mcherry,8227.0
svs002-svp005,rep1,median_mcherry,13413.0
svs002-svp005,rep1,median_mcherry,584.0
svs002-svp005,rep1,median_mcherry,67873.0
svs002-svp005,rep1,median_mcherry,67896.0
svs002-svp005,rep1,median_mcherry,1404.0
svs002-svp005,rep1,median_mcherry,25140.0
svs002-svp005,rep1,median_mcherry,46917.0
svs002-svp005,rep1,median_mcherry,1842.0
svs002-svp005,rep1,median_mcherry,46936.0
svs002-svp005,rep1,median_mcherry,38048.0
svs002-svp005,rep1,median_mcherry,82844.0
svs002-svp005,rep1,median_mcherry,13143.0
svs002-svp005,rep1,median_mcherry,44144.0
svs002-svp005,rep1,median_mcherry,95485.0
svs002-svp005,rep1,median_mcherry,13617.0
svs002-svp005,rep1,median_mcherry,67266.0
svs002-svp005,rep1,median_mcherry,48124.0
svs002-svp005,rep1,median_mcherry,448.0
svs002-svp005,rep1,median_mcherry,26933.0
svs002-svp005,rep1,median_mcherry,21837.0
svs002-svp005,rep1,median_mcherry,52969.0
