pos,y_bin_label,time_hours,mean_intensity,std_intensity,n_cells,y_min,y_max
pos18,Back,8.5,240.46483760511774,10.63411790501632,1084,4.0,241.5890410958904
pos18,Back,8.583333333333332,239.85448483871383,10.351863674700748,1090,4.647058823529412,241.50819672131144
pos18,Back,8.666666666666666,239.3693844555422,10.459792220764296,1153,4.346153846153846,241.5
pos18,Back,8.75,239.01260305875394,10.530488060659039,1066,4.815384615384615,241.45945945945945
pos18,Back,8.833333333333332,239.314763364508,10.647401715393746,1003,4.815384615384615,241.5744680851064
pos18,Back,8.916666666666666,239.47608911904257,10.056383931650805,995,4.5,241.4814814814815
pos18,Back,9.0,238.5631337669942,10.132732837144308,1030,4.842105263157895,241.52631578947367
pos18,Back,9.083333333333332,238.28791161582413,10.14967204094964,983,3.2142857142857144,241.28571428571428
pos18,Back,9.166666666666666,238.72156549116755,9.994831730005,1074,5.517241379310345,241.3235294117647
pos18,Back,9.25,239.13425353962862,10.17032219298165,1274,4.204545454545454,241.16216216216216
pos18,Back,9.333333333333332,239.51945107453452,10.435103850289403,1269,3.4285714285714284,241.5
pos18,Back,9.416666666666666,238.74506661470883,10.251026744791373,1289,4.385964912280702,241.47619047619048
pos18,Back,9.5,239.04962946237464,10.33592050049827,1266,4.2,241.55555555555551
pos18,Back,9.583333333333332,238.154511644516,10.096649956431675,1288,3.625,241.505376344086
pos18,Back,9.666666666666666,238.33946885710938,9.970579943536011,1292,3.4242424242424243,241.55421686746988
pos18,Back,9.75,237.97288187309312,10.320414844030438,1299,3.5526315789473686,241.44444444444449
pos18,Back,9.833333333333332,237.65342809052504,9.891472307690913,1305,4.2272727272727275,241.6
pos18,Back,9.916666666666666,236.6793508668294,10.009393141346877,1309,3.975609756097561,241.5185185185185
pos18,Back,10.0,236.2122502141745,9.883823565650097,1305,3.973684210526316,241.28395061728395
pos18,Back,10.083333333333332,235.74024979590726,9.584874601115269,1303,3.934782608695652,241.1851851851852
pos18,Back,10.166666666666666,236.16697284833592,9.91920103504087,1284,3.697674418604651,241.51111111111112
pos18,Back,10.25,235.7662312129113,10.05498096649322,1283,3.5454545454545454,241.4406779661017
pos18,Back,10.333333333333332,237.35248884192023,9.48467067441396,1277,3.9361702127659575,241.6034482758621
pos18,Back,10.416666666666666,235.8670253938105,9.534799250218887,1262,4.368421052631579,241.46153846153845
pos18,Back,10.5,236.10236409343506,9.602885891272487,1271,4.5,241.34567901234567
pos18,Back,10.583333333333332,235.6718990431242,9.545635857870565,1282,4.704918032786885,241.53846153846155
pos18,Back,10.666666666666666,234.98265714276482,9.518636231536117,1275,4.16,241.06666666666663
pos18,Back,10.75,234.51403135567307,9.031540180261603,1236,5.5,241.5806451612903
pos18,Back,10.833333333333332,234.2352514452047,9.23684877844059,1170,5.0,241.5888888888889
pos18,Back,10.916666666666666,234.39515299988813,9.111521346601352,1134,4.0,241.60416666666663
pos18,Back,11.0,234.12545931546293,9.191720489700092,1130,4.666666666666667,241.4516129032258
pos18,Back,11.083333333333332,233.81279168852424,9.161296585192403,1218,4.25,241.19354838709677
pos18,Back,11.166666666666666,233.2448327058549,9.012765130814318,1240,4.962264150943396,241.5441176470588
pos18,Back,11.25,232.75674674968988,9.097810634783395,1299,4.92,241.58620689655172
pos18,Back,11.333333333333332,232.2830428448639,8.947432988360267,1323,4.741935483870968,241.54545454545453
pos18,Back,11.416666666666666,232.73839868654818,9.192097933303748,1329,3.625,241.56578947368425
pos18,Back,11.5,232.0341448798718,8.99465914229604,1314,4.351851851851852,241.27631578947367
pos18,Back,11.583333333333332,232.19014274525713,8.776151160097596,1318,4.722222222222222,241.61111111111111
pos18,Back,11.666666666666666,231.93611446459494,8.40748942379788,1274,5.103896103896104,241.36666666666667
pos18,Back,11.75,232.9843801312242,8.770281915161076,1245,4.28,241.1052631578947
pos18,Back,11.833333333333332,232.605940676704,8.603552165917668,1312,3.717948717948718,241.4090909090909
pos18,Back,11.916666666666666,232.39078555940222,8.601182703455768,1311,4.214285714285714,241.50943396226415
pos18,Back,12.0,232.5055652144498,8.852916286558598,1226,4.4576271186440675,241.3404255319149
pos18,Back,12.083333333333332,232.58157442308985,8.954835955591129,1340,3.4166666666666665,241.54237288135593
pos18,Back,12.166666666666666,232.64514475768522,8.850428079184509,1322,4.096774193548387,241.56
pos18,Back,12.25,232.71942222465307,9.173408627213725,1340,4.350877192982456,241.47272727272727
pos18,Back,12.333333333333332,233.0433326909622,9.324532898656773,1271,4.125,240.86021505376343
pos18,Back,12.416666666666666,232.35569368878544,9.428835461498121,1326,3.675675675675676,241.6
pos18,Back,12.5,232.29097111063672,9.338463253967856,1309,4.711111111111111,241.56923076923076
pos18,Back,12.583333333333332,231.51196759387636,9.658661159334903,1323,4.511111111111111,241.54545454545453
pos18,Back,12.666666666666666,231.0449022566161,9.321181757825293,1343,4.5,241.5
pos18,Back,12.75,231.34163249400177,9.461827950232703,1314,4.078431372549019,241.5813953488372
pos18,Back,12.833333333333332,230.8518607301793,9.062612151429901,1367,5.287878787878788,241.51724137931035
pos18,Back,12.916666666666666,230.50631657407286,9.094140888093069,1371,4.5,241.4561403508772
pos18,Back,13.0,230.83664606751896,8.720676408966234,1365,4.135135135135135,241.3090909090909
pos18,Back,13.083333333333332,230.2941326989892,8.960809812912984,1334,4.148936170212766,241.27777777777777
pos18,Back,13.166666666666666,230.84710519383088,8.75828932476648,1317,4.3584905660377355,241.375
pos18,Back,13.25,231.07120517489042,8.963147221777586,1260,4.6,241.5185185185185
pos18,Back,13.333333333333332,231.2154099053482,8.60778232820894,1293,4.5,241.28571428571428
pos18,Back,13.416666666666666,231.55863630327602,9.023615739148218,1303,4.75,241.58620689655172
pos18,Back,13.5,230.96882161526648,8.597939401019486,1315,4.333333333333333,241.5
pos18,Back,13.583333333333332,230.96172372894034,8.621744317007085,1304,4.535714285714286,241.6
pos18,Back,13.666666666666666,231.06879911715706,8.645675849771871,1314,4.480769230769231,241.47368421052633
pos18,Back,13.75,231.13768950941548,8.782464127869934,1313,3.85,241.46511627906975
pos18,Back,13.833333333333332,231.0058847150455,8.967222806764978,1349,4.7073170731707314,241.5
pos18,Back,13.916666666666666,230.84727661726055,9.310712794441873,1361,3.5806451612903225,241.4561403508772
pos18,Back,14.0,230.8874347235999,9.228234660474945,1326,4.0476190476190474,241.5
pos18,Back,14.083333333333332,230.48368474030815,8.922985269113054,1384,3.5,241.3483146067416
pos18,Back,14.166666666666666,230.02080225763683,9.603569610415459,1363,2.925925925925926,241.54545454545453
pos18,Back,14.25,229.8179830825718,9.009890536683784,1357,3.6666666666666665,241.3
pos18,Back,14.333333333333332,229.98657793239107,9.13117194652085,1354,4.269230769230769,241.30769230769232
pos18,Back,14.416666666666666,229.65811098310039,9.250497131362476,1383,3.92,241.36
pos18,Back,14.5,230.2081813601912,9.379737891461884,1360,3.5142857142857142,241.56521739130432
pos18,Back,14.583333333333332,229.66812219789531,9.39678983103727,1401,4.285714285714286,241.53125
pos18,Back,14.666666666666666,228.94422582272088,9.70845892904814,1404,4.629032258064516,241.5
pos18,Back,14.75,228.94109332131697,9.72012437241363,1409,4.2,241.5
pos18,Back,14.833333333333332,228.99296983573248,10.214397576174969,1380,4.0,241.5
pos18,Back,14.916666666666666,228.82753963396004,9.99502994318161,1385,3.86046511627907,241.45
pos18,Back,15.0,228.868689981137,10.005861365205002,1405,4.196078431372549,241.57142857142856
pos18,Back,15.083333333333332,228.4524454672427,10.406211676282657,1377,3.869565217391304,241.4821428571429
pos18,Back,15.166666666666666,228.58327992987572,10.56286801859223,1383,4.0,241.5
pos18,Back,15.25,228.88614116391759,9.932879369426884,1391,3.4482758620689653,241.5
pos18,Back,15.333333333333332,228.42436808625277,9.92859152000449,1387,3.806451612903226,241.53571428571428
pos18,Back,15.416666666666666,228.31475425446686,9.765059207755106,1388,3.7096774193548385,241.44776119402985
pos18,Back,15.5,228.9001441033413,9.520650594915779,1366,3.9166666666666665,241.21951219512195
pos18,Back,15.583333333333332,228.51142944255943,9.385075175576192,1394,3.90625,241.27777777777777
pos18,Back,15.666666666666666,229.02524539118045,9.780459485738373,1393,4.396551724137931,241.6071428571429
pos18,Back,15.75,228.6831444604405,9.444271439830652,1401,3.71875,241.43589743589743
pos18,Back,15.833333333333332,228.00093202700828,9.59348675279946,1397,4.104166666666667,241.5
pos18,Back,15.916666666666666,228.24101873701136,9.469893089003213,1389,3.3666666666666667,241.55172413793105
pos18,Back,16.0,228.03389082072084,9.323174766416107,1368,3.763157894736842,241.61016949152545
pos18,Back,16.083333333333332,228.93068370003132,9.347164641131815,1378,4.040816326530612,241.3793103448276
pos18,Back,16.166666666666664,228.60167817315454,9.051512814898112,1378,3.975609756097561,241.61111111111111
pos18,Back,16.25,229.2682824466935,9.215529337458834,1400,3.4516129032258065,241.42857142857144
pos18,Back,16.333333333333332,228.97897231790466,8.79945949127776,1410,4.069767441860465,241.5
pos18,Back,16.416666666666664,229.61660725139757,9.020619097924875,1401,4.148936170212766,241.52941176470588
pos18,Back,16.5,230.0835841039809,9.214951207069454,1406,3.2903225806451615,241.59420289855072
pos18,Back,16.583333333333332,231.01221750514193,9.44663355381527,1408,3.6,241.55555555555551
pos18,Back,16.666666666666664,230.93469299158315,9.630120150394434,1417,3.4242424242424243,241.47761194029852
pos18,Back,16.75,231.4406353076705,9.786261756501576,1416,4.0,241.55737704918033
pos18,Back,16.833333333333332,231.05701401906276,10.363431248316568,1410,4.4186046511627906,241.5151515151515
pos18,Back,16.916666666666664,232.0747076809894,10.317281258891665,1398,3.5806451612903225,241.46875
pos18,Back,17.0,231.92605797475667,10.494641471476289,1407,3.675675675675676,241.48648648648648
pos18,Back,17.083333333333332,232.47508581425498,10.36205844699033,1383,3.4242424242424243,241.5
pos18,Back,17.166666666666664,232.48484097514776,10.800335247092894,1420,4.725806451612903,241.21875
pos18,Back,17.25,232.80584990451717,10.63227619525804,1412,4.137254901960785,241.15384615384616
pos18,Back,17.333333333333332,233.45372655117524,10.347255833164143,1409,3.04,241.5
pos18,Back,17.416666666666664,232.5954337815229,10.992410133965866,1409,3.7954545454545454,241.57575757575756
pos18,Middle,0.0,585.2350361478004,74.68736360116999,1383,241.86666666666667,480.15384615384613
pos18,Middle,0.08333333333333333,558.6387467144899,72.47481074739444,1388,242.0,480.1714285714286
pos18,Middle,0.16666666666666666,547.5756239731626,70.82104979128495,1376,242.375,480.14814814814815
pos18,Middle,0.25,536.9721452326545,69.08769164930935,1359,241.66666666666663,479.8985507246377
pos18,Middle,0.3333333333333333,520.3699724985396,66.68909208958172,1342,241.69642857142856,480.13953488372096
pos18,Middle,0.41666666666666663,509.5216560408743,66.09248308110452,1347,241.82926829268297,480.0869565217391
pos18,Middle,0.5,502.32750452152214,63.765224735240444,1338,241.8360655737705,480.28
pos18,Middle,0.5833333333333333,499.494119704316,63.37650885921667,1336,242.0727272727273,480.27272727272725
pos18,Middle,0.6666666666666666,483.90582010034603,61.503399393334945,1335,241.83333333333337,480.2678571428572
pos18,Middle,0.75,467.53886697006607,59.78363368487193,1299,241.7627118644068,480.1458333333333
pos18,Middle,0.8333333333333333,460.3341170466736,59.19013533012852,1303,241.71428571428572,480.2888888888889
pos18,Middle,0.9166666666666666,454.9920428292545,58.83786601263522,1306,242.31428571428572,480.2352941176471
pos18,Middle,1.0,448.1985035888927,56.69910766437559,1324,241.8965517241379,480.0
pos18,Middle,1.0833333333333333,442.757148855537,56.392095398782494,1342,241.7719298245614,480.27272727272725
